,title,year,length,director
269,Ran,1985,2h 42m,Akira Kurosawa
270,Casino,1995,2h 58m,Martin Scorsese
271,Casino,1995,2h 58m,Martin Scorsese
272,The Truman Show,1998,1h 43m,Peter Weir
273,The Truman Show,1998,1h 43m,Peter Weir
274,There Will Be Blood,2007,2h 38m,Paul Thomas Anderson
275,There Will Be Blood,2007,2h 38m,Paul Thomas Anderson
276,Pan's Labyrinth,2006,1h 58m,Guillermo del Toro
277,Pan's Labyrinth,2006,1h 58m,Guillermo del Toro
278,Unforgiven,1992,2h 10m,Clint Eastwood
279,Unforgiven,1992,2h 10m,Clint Eastwood
280,The Sixth Sense,1999,1h 47m,M. Night Shyamalan
281,The Sixth Sense,1999,1h 47m,M. Night Shyamalan
282,Shutter Island,2010,2h 18m,Martin Scorsese
283,Shutter Island,2010,2h 18m,Martin Scorsese
284,A Beautiful Mind,2001,2h 15m,Ron Howard
285,A Beautiful Mind,2001,2h 15m,Ron Howard
286,Jurassic Park,1993,2h 7m,Steven Spielberg
287,Jurassic Park,1993,2h 7m,Steven Spielberg
288,Yojimbo,1961,1h 50m,Akira Kurosawa
289,Yojimbo,1961,1h 50m,Akira Kurosawa
290,The Treasure of the Sierra Madre,1948,2h 6m,John Huston
291,The Treasure of the Sierra Madre,1948,2h 6m,John Huston
292,Monty Python and the Holy Grail,1975,1h 31m,Terry Gilliam
293,Monty Python and the Holy Grail,1975,1h 31m,Terry Gilliam
294,No Country for Old Men,2007,2h 2m,Ethan Coen
295,No Country for Old Men,2007,2h 2m,Ethan Coen
296,The Great Escape,1963,2h 52m,John Sturges
297,The Great Escape,1963,2h 52m,John Sturges
298,Kill Bill: Vol. 1,2003,1h 51m,Quentin Tarantino
299,Kill Bill: Vol. 1,2003,1h 51m,Quentin Tarantino
300,Rashomon,1950,1h 28m,Akira Kurosawa
301,Rashomon,1950,1h 28m,Akira Kurosawa
302,Spider-Man: No Way Home,2021,2h 28m,Jon Watts
303,Spider-Man: No Way Home,2021,2h 28m,Jon Watts
304,The Thing,1982,1h 49m,John Carpenter
305,The Thing,1982,1h 49m,John Carpenter
306,Finding Nemo,2003,1h 40m,Andrew Stanton
307,Finding Nemo,2003,1h 40m,Andrew Stanton
308,The Elephant Man,1980,2h 4m,David Lynch
309,The Elephant Man,1980,2h 4m,David Lynch
310,Chinatown,1974,2h 10m,Roman Polanski
311,Chinatown,1974,2h 10m,Roman Polanski
312,Raging Bull,1980,2h 9m,Martin Scorsese
313,Raging Bull,1980,2h 9m,Martin Scorsese
314,V for Vendetta,2005,2h 12m,James McTeigue
315,V for Vendetta,2005,2h 12m,James McTeigue
316,Gone with the Wind,1939,3h 58m,Victor Fleming
317,Gone with the Wind,1939,3h 58m,Victor Fleming
318,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,Guy Ritchie
319,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,Guy Ritchie
320,Inside Out,2015,1h 35m,Pete Docter
321,Inside Out,2015,1h 35m,Pete Docter
322,Dial M for Murder,1954,1h 45m,Alfred Hitchcock
323,Dial M for Murder,1954,1h 45m,Alfred Hitchcock
324,The Secret in Their Eyes,2009,2h 9m,Juan José Campanella
325,The Secret in Their Eyes,2009,2h 9m,Juan José Campanella
326,Howl's Moving Castle,2004,1h 59m,Hayao Miyazaki
327,Howl's Moving Castle,2004,1h 59m,Hayao Miyazaki
328,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,Martin McDonagh
329,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,Martin McDonagh
330,Trainspotting,1996,1h 33m,Danny Boyle
331,Trainspotting,1996,1h 33m,Danny Boyle
332,The Bridge on the River Kwai,1957,2h 41m,David Lean
333,The Bridge on the River Kwai,1957,2h 41m,David Lean
334,Prisoners,2013,2h 33m,Denis Villeneuve
